번호,관리기관명(필수),도로명주소(필수),주소(선택),설치목적구분(필수),위도(필수),경도(필수),카메라 대수(필수),카메라화소수(선택),촬영방면정보(선택),보관일수(선택),설치연월(선택),관리기관전화번호(선택),데이터기준일자(필수),관리번호(임의),카메라명(임의),설치목적구분상세(임의),"개소별
대역폭(임의)",통신망(임의)
125,천안시,,충청남도 천안시 동남구 신부동 2-1,,36.831306,127.171105,2,,,,,,,E17P016-14,E17P016-14_1_신부동 2-1(천호지공원2)_PTZ,방범(도시공원),10M,KT
126,천안시,,충청남도 천안시 동남구 신부동 16-8,,36.829515,127.169651,3,,,,,,,E17P017-14,E17P017-14_1_신부동 16-8(천호지공원3)_PTZ,방범(도시공원),-,CCTV 자가망
127,천안시,,충청남도 천안시 동남구 신부동 989,,36.817616,127.16302,2,,,,,,,E17P024-19,E17P024-19_1_신부동 989(도솔노블시티 소공원1)_PTZ,방범(도시공원),10M,LG
128,천안시,,충청남도 천안시 동남구 신부동 989,,36.817538,127.164244,1,,,,,,,E17P025-19,E17P025-19_1_신부동 989(도솔노블시티 소공원2)_PTZ,방범(도시공원),10M,LG
129,천안시,,충청남도 천안시 동남구 신부동 987,,36.815508,127.161043,2,,,,,,,E17P026-19,E17P026-19_1_신부동 987(도솔노블시티 어린이공원1)_PTZ,방범(도시공원),10M,LG
130,천안시,,충청남도 천안시 동남구 신부동 987,,36.815461,127.161431,1,,,,,,,E17P027-19,E17P027-19_1_신부동 987(도솔노블시티 어린이공원2)_PTZ,방범(도시공원),10M,LG
131,천안시,,충청남도 천안시 동남구 신부동 987,,36.815624,127.16155,1,,,,,,,E17P028-19,E17P028-19_1_신부동 987(도솔노블시티 어린이공원3)_PTZ,방범(도시공원),10M,LG
132,천안시,,충청남도 천안시 서북구 성환읍 성월리 산51-1,,36.911768,127.13462,4,,,,,,,W18P001-13,W18P001-13_1_성환읍 성월리 산 51-1(성환4공원)_PTZ,방범(도시공원),10M,LG
133,천안시,,충청남도 천안시 서북구 성환읍 매주리 241-5,,36.902755,127.131974,2,,,,,,,W18P002-14,W18P002-14_1_성환읍 매주리 241-5(매주1어린이공원)_PTZ,방범(도시공원),10M,KT
134,천안시,,충청남도 천안시 서북구 성환읍 매주리 31-7,,36.907767,127.146439,3,,,,,,,W18P128-15,W18P128-15_1_성환읍 매주리 31-7(성환도시자연공원2)_PTZ,방범(도시공원),10M,KT
135,천안시,,충청남도 천안시 서북구 성환읍 매주리 41-9,,36.903378,127.139913,2,,,,,,,W18P129-15,W18P129-15_1_성환읍 매주리 41-9(도시자연공원3),방범(도시공원),10M,KT
