사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018081800100337,2018년 8월 18일 14시,토요일,충청남도 천안시 동남구 원성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,17세,경상,승용,남,69세,상해없음
2018081800100588,2018년 8월 18일 21시,토요일,충청남도 천안시 서북구 성정동,중상사고,0,1,2,0,차대차 - 기타,기타,건조,맑음,교차로 - 교차로부근,승용,남,22세,상해없음,이륜,남,50세,중상
2018081800100617,2018년 8월 18일 22시,토요일,충청남도 천안시 서북구 쌍용동,중상사고,0,1,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,화물,남,49세,중상,승용,남,53세,경상
2018081900100096,2018년 8월 19일 06시,일요일,충청남도 천안시 동남구 신부동,사망사고,1,0,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,사망,,,,
2018081900100239,2018년 8월 19일 13시,일요일,충청남도 천안시 동남구 봉명동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,승용,남,47세,경상
2018081900100265,2018년 8월 19일 14시,일요일,충청남도 천안시 서북구 성정동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,원동기,남,56세,중상
2018081900100358,2018년 8월 19일 17시,일요일,충청남도 천안시 서북구 직산읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,63세,상해없음,승용,남,26세,경상
2018082000100018,2018년 8월 20일 02시,월요일,충청남도 천안시 서북구 백석동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,승용,여,26세,경상
2018082000100256,2018년 8월 20일 12시,월요일,충청남도 천안시 서북구 백석동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,37세,상해없음,승용,여,49세,경상
2018082000100427,2018년 8월 20일 17시,월요일,충청남도 천안시 동남구 영성동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승합,남,53세,상해없음,이륜,여,59세,중상
